original_title,release_date,genre,revenue,runtime,vote_average
Cry Macho,9/16/2021,"['Western', 'Drama']",11780000,104,6.5
The Many Saints of Newark,9/22/2021,"['Crime', 'Drama']",11620603,120,6.8
Antlers,10/28/2021,"['Drama', 'Horror', 'Mystery']",9017473,99,5.9
The Protégé,8/19/2021,"['Action', 'Crime', 'Thriller']",8115215,109,6.8
Judas and the Black Messiah,2/12/2021,"['Drama', 'History']",6416063,125,7.5
Copshop,9/9/2021,"['Action', 'Thriller', 'Crime']",5400000,107,6.2
Чернобыль,4/15/2021,"['Drama', 'History', 'Adventure']",5370393,136,6.4
Titane,7/14/2021,"['Drama', 'Thriller', 'Horror']",5115725,108,6.8
Le sens de la famille,6/30/2021,"['Comedy', 'Romance']",4849622,92,5.9
Майор Гром: Чумной Доктор,4/1/2021,"['Action', 'Adventure']",4493306,136,6.8
Voyagers,4/8/2021,"['Science Fiction', 'Thriller']",4284903,108,6.3
Opération Portugal,6/23/2021,['Comedy'],3795575,95,5.0
Wrong Turn,1/26/2021,"['Horror', 'Thriller']",3777969,110,6.1
12 Mighty Orphans,6/18/2021,"['History', 'Drama']",3615193,118,7.9
Zola,6/30/2021,"['Drama', 'Comedy', 'Crime']",3500000,86,6.4
A todo tren: destino Asturias,7/8/2021,"['Comedy', 'Family']",3468053,90,4.7
The Card Counter,9/3/2021,"['Drama', 'Thriller', 'Crime']",3414917,111,6.6
Benedetta,7/9/2021,"['Drama', 'History', 'Romance']",2652725,131,6.7
Pig,7/16/2021,"['Drama', 'Thriller']",2652024,91,6.7
Annette,7/6/2021,"['Drama', 'Romance', 'Music']",2576020,140,7.0
Supernova,1/29/2021,"['Drama', 'Romance']",2506542,94,7.1
The Eyes of Tammy Faye,9/17/2021,"['Drama', 'History']",2404127,126,6.0
Land,2/12/2021,['Drama'],2375190,89,7.0
The Ice Road,6/24/2021,"['Action', 'Adventure', 'Drama', 'Thriller']",2147110,108,7.2
Juega Conmigo,2/25/2021,['Horror'],1753826,80,7.2
El Exorcismo de Carmen Farías,5/5/2021,['Horror'],1474579,93,6.4
Army of the Dead,5/14/2021,"['Action', 'Adventure', 'Crime', 'Horror']",780000,148,6.4
Blue Bayou,9/10/2021,['Drama'],750000,119,7.2
Bergman Island,7/14/2021,"['Drama', 'Romance']",589895,113,6.7
Méandre,5/26/2021,"['Horror', 'Science Fiction', 'Drama', 'Thriller']",569178,91,6.0
Great White,6/10/2021,"['Horror', 'Thriller']",517929,91,5.2
Twist,1/22/2021,"['Crime', 'Drama', 'Action']",510466,92,6.1
Ich bin dein Mensch,8/5/2021,"['Science Fiction', 'Comedy', 'Romance']",488267,105,6.7
Willy's Wonderland,2/12/2021,"['Action', 'Horror', 'Comedy']",431020,88,6.5
アーヤと魔女,1/27/2021,"['Animation', 'Fantasy', 'Family']",384659,82,6.4
Gunpowder Milkshake,7/14/2021,"['Action', 'Thriller', 'Crime']",344931,114,6.5
Censor,6/11/2021,"['Horror', 'Mystery']",314785,84,6.1
Werewolves Within,6/25/2021,"['Comedy', 'Horror']",250811,97,6.1
My Salinger Year,1/14/2021,['Drama'],236653,101,6.3
Endangered Species,5/27/2021,"['Thriller', 'Action']",55217,101,6.3
Lansky,6/24/2021,"['Crime', 'Drama', 'Thriller']",53478,119,6.3
Vivo,4/9/2021,['Documentary'],40006,0,8.0
Little Fish,2/5/2021,"['Romance', 'Science Fiction', 'Drama']",39053,101,7.2
Shiva Baby,4/2/2021,"['Comedy', 'Drama']",31014,78,7.2
Bloody Hell,1/14/2021,"['Horror', 'Comedy']",28037,94,6.4
Flashback,6/3/2021,['Thriller'],26747,97,6.5
The Penitent Thief,2/25/2021,['Drama'],21507,93,4.8
Sweat,3/12/2021,"['Drama', 'Thriller']",11546,107,7.0
Marco effekten,5/27/2021,"['Thriller', 'Crime']",2686,120,6.5
Army of Thieves,10/27/2021,"['Action', 'Crime', 'Thriller']",0,127,6.9
W lesie dziś nie zaśnie nikt 2,10/27/2021,"['Horror', 'Thriller']",0,96,4.1
American Badger,3/5/2021,"['Action', 'Thriller']",0,88,6.3
劇場版 七つの大罪 光に呪われし者たち,7/2/2021,"['Animation', 'Action']",,,8.4
The Vault,3/3/2021,"['Crime', 'Action', 'Thriller']",0,118,7.1
The Deep House,6/30/2021,['Horror'],0,85,5.5
I onde dager,7/30/2021,"['Action', 'Comedy', 'Thriller', 'Horror']",0,113,6.8
Zone 414,9/3/2021,"['Science Fiction', 'Thriller', 'Mystery']",0,98,5.8
Peçanha Contra o Animal,10/22/2021,"['Comedy', 'Crime']",0,67,5.4
W jak morderstwo,6/18/2021,"['Crime', 'Mystery', 'Drama', 'Comedy']",0,104,5.8
Ripper Untold,6/28/2021,['Horror'],0,85,6.5
Matando Cabos 2: La Máscara del Máscara,10/1/2021,"['Action', 'Comedy', 'Adventure']",,,7.9
Operación Camarón,6/24/2021,['Comedy'],0,90,5.5
Separation,4/30/2021,['Horror'],0,107,6.0
Dragon Fury,6/15/2021,"['Horror', 'Fantasy', 'Mystery']",0,88,6.0
Kin,10/8/2021,"['Crime', 'Drama', 'Thriller']",0,104,6.6
Hypnotic,10/27/2021,"['Thriller', 'Drama', 'Horror']",0,88,6.2
Rock Dog 2: Rock Around the Park,6/24/2021,"['Animation', 'Comedy', 'Music', 'Family']",0,90,7.6
Caged,1/26/2021,"['Thriller', 'Horror']",0,81,6.6
Injustice,10/9/2021,"['Animation', 'Science Fiction', 'Fantasy', 'Action']",0,78,8.0
Cosmic Sin,3/12/2021,['Science Fiction'],0,88,4.4
BAC Nord,8/18/2021,"['Crime', 'Thriller']",0,105,7.7
Demonic,7/29/2021,"['Horror', 'Thriller']",0,104,4.9
The Tomorrow War,7/2/2021,"['Action', 'Science Fiction', 'Adventure']",0,138,8.1
Infinite,9/9/2021,"['Science Fiction', 'Action', 'Thriller']",0,106,6.9
LOL Surprise: The Movie,10/8/2021,"['Animation', 'Family']",0,0,7.5
Ainbo: Spirit of the Amazon,2/9/2021,"['Adventure', 'Animation', 'Family', 'Fantasy']",,0,7.2
"Miraculous World: Shanghai, la légende de Ladydragon",5/15/2021,"['Animation', 'Comedy', 'Family', 'Adventure']",0,52,8.0
Spider-Man: No Way Home,12/15/2021,"['Action', 'Adventure', 'Science Fiction']",0,0,0.0
Narco Sub,1/22/2021,"['Action', 'Drama', 'Crime']",0,93,7.1
Night Teeth,10/20/2021,"['Horror', 'Thriller', 'Action']",0,107,6.8
Sweet Girl,8/18/2021,['Action'],0,110,6.9
Redemption Day,1/8/2021,['Action'],0,100,6.7
真·三国无双,4/29/2021,"['Action', 'Adventure', 'Fantasy']",0,117,6.7
Mi otra yo,6/15/2021,['Comedy'],0,89,6.3
Finch,11/4/2021,"['Science Fiction', 'Drama', 'Adventure']",0,115,8.0
機動戦士ガンダム 閃光のハサウェイ,6/11/2021,"['Animation', 'Action', 'Drama', 'Science Fiction']",0,96,8.1
Catch the Bullet,9/10/2021,"['Western', 'Action']",0,89,5.6
Rogue Hostage,6/11/2021,"['Action', 'Thriller']",0,94,6.4
Women,4/8/2021,['Thriller'],0,90,6.1
SAS: Red Notice,8/11/2021,"['Drama', 'Action', 'Thriller']",0,120,6.0
Bloodthirsty,4/23/2021,['Horror'],0,82,6.6
Jurassic Hunt,8/26/2021,"['Action', 'Science Fiction', 'Thriller']",0,83,5.0
Monster Pets: A Hotel Transylvania Short,4/2/2021,"['Animation', 'Comedy', 'Fantasy']",0,6,7.5
Red Notice,11/5/2021,"['Action', 'Comedy', 'Crime', 'Thriller']",0,116,7.4
るろうに剣心 最終章 The Beginning,6/4/2021,"['Action', 'Adventure', 'Drama']",0,138,7.9
Sharkdog’s Fintastic Halloween,10/15/2021,"['Animation', 'Fantasy', 'Family']",0,24,3.7
Under Wraps,10/1/2021,"['Comedy', 'Family', 'Fantasy']",0,91,7.1
Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,9/14/2021,"['Animation', 'Comedy', 'Mystery', 'Family', 'Fantasy']",0,72,8.3
My Little Pony: A New Generation,9/23/2021,"['Animation', 'Family', 'Fantasy', 'Comedy', 'Music', 'Adventure']",0,91,8.1
We Broke Up,4/23/2021,['Comedy'],0,82,5.7
Chacun chez soi,6/2/2021,['Comedy'],0,83,5.4
Swim,8/13/2021,"['Horror', 'Action']",0,87,7.4
Kate,9/10/2021,"['Action', 'Thriller']",0,106,6.8
"The Simpsons: The Good, the Bart, and the Loki",7/7/2021,"['Animation', 'Comedy', 'Family']",0,6,7.6
El mesero,7/15/2021,['Comedy'],0,86,8.3
Love Hard,11/5/2021,"['Comedy', 'Romance']",0,105,6.6
Encanto,11/24/2021,"['Family', 'Music', 'Adventure', 'Animation', 'Fantasy']",0,99,0.0
ブライト: サムライソウル,10/12/2021,"['Animation', 'Action', 'Fantasy']",0,80,6.2
Apex,11/12/2021,"['Action', 'Thriller', 'Science Fiction']",0,108,5.3
Un rescate de huevitos,8/12/2021,"['Animation', 'Comedy']",0,0,8.1
Le Dernier Mercenaire,7/30/2021,"['Action', 'Comedy']",0,110,6.8
Little Big Mouth,10/22/2021,['Comedy'],0,94,4.9
Nightbooks,9/15/2021,"['Fantasy', 'Family', 'Horror']",0,103,6.6
LEGO Star Wars Terrifying Tales,10/1/2021,"['Family', 'Animation', 'Science Fiction', 'Comedy']",0,45,6.6
Catalina la Catrina: especial Día de Muertos,10/1/2021,"['Family', 'Animation']",0,0,3.3
Muppets Haunted Mansion,10/8/2021,"['Comedy', 'Family', 'TV Movie']",0,52,6.9
Jolt,7/15/2021,"['Action', 'Comedy']",0,91,6.8
Tom Clancy's Without Remorse,4/29/2021,"['Action', 'Thriller']",0,109,7.2
Vivo,7/30/2021,"['Animation', 'Family', 'Comedy']",0,99,7.7
"Barbie: Big City, Big Dreams",8/20/2021,"['Animation', 'Music', 'Family']",0,62,7.2
No me echen ese muerto,10/9/2021,['Comedy'],0,0,7.4
The Misfits,6/10/2021,['Action'],0,94,5.6
Mortal Kombat Legends: Battle of the Realms,8/30/2021,"['Animation', 'Action', 'Fantasy']",0,80,8.1
서복,4/12/2021,"['Science Fiction', 'Action']",0,114,7.5
Beckett,8/4/2021,"['Action', 'Crime', 'Drama', 'Mystery']",0,109,6.4
Escape The Undertaker,10/5/2021,"['Horror', 'Mystery', 'Family']",0,31,5.3
Body Brokers,2/19/2021,"['Thriller', 'Crime']",0,111,6.6
The Toll,3/26/2021,"['Thriller', 'Horror']",0,80,6.2
No One Gets Out Alive,9/29/2021,"['Horror', 'Thriller', 'Mystery']",0,85,6.0
火星异变,8/27/2021,"['Drama', 'Science Fiction']",0,0,6.3
Farm to Fork to Love,4/29/2021,"['Romance', 'TV Movie']",0,87,5.2
Teen Titans Go! See Space Jam,6/20/2021,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Science Fiction']",0,80,7.0
싱크홀,8/11/2021,"['Comedy', 'Drama']",0,113,7.3
Long Story Short,2/11/2021,"['Romance', 'Comedy', 'Fantasy']",0,90,7.4
Awake,6/9/2021,"['Drama', 'Science Fiction', 'Thriller']",0,96,6.0
There's Someone Inside Your House,9/24/2021,"['Horror', 'Thriller', 'Mystery']",0,96,5.7
Vacation Friends,8/27/2021,['Comedy'],0,103,7.3
劇場版 美少女戦士セーラームーンEternal 後編,2/11/2021,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance']",0,80,8.2
Este amor es de otro planeta,3/31/2021,"['Comedy', 'Romance']",0,88,4.5
Go! Go! Cory Carson: Chrissy Takes the Wheel,9/21/2021,"['Animation', 'Family']",0,0,5.5
García y García,8/27/2021,['Comedy'],0,0,3.2
Trigger Point,4/23/2021,"['Action', 'Thriller']",0,82,6.6
The Harder They Fall,10/22/2021,['Western'],0,139,6.6
The Loud House Movie,8/20/2021,"['Animation', 'Family', 'Comedy', 'Music', 'Fantasy']",0,83,8.4
De Slag om de Schelde,6/5/2021,"['War', 'History', 'Drama']",0,124,7.2
Confissões de Uma Garota Excluída,9/22/2021,"['Comedy', 'Drama']",0,91,6.9
粉色樱与大眠王,7/6/2021,['Romance'],0,77,4.5
Bartkowiak,7/28/2021,"['Action', 'Thriller']",0,91,6.3
He's All That,8/27/2021,"['Comedy', 'Romance']",0,91,6.9
8 Rue de l'Humanité,10/20/2021,['Comedy'],0,126,6.1
The Virtuoso,4/30/2021,"['Thriller', 'Action', 'Crime']",0,105,6.3
Fear Street: 1994,6/28/2021,"['Horror', 'Mystery']",0,107,6.8
PAW Patrol: Jet to the Rescue,12/2/2021,"['Family', 'Animation']",0,56,0.0
Fatherhood,6/18/2021,"['Drama', 'Family', 'Comedy']",0,109,7.7
22 vs. Earth,4/30/2021,"['Family', 'Comedy', 'Fantasy', 'Animation']",0,9,7.1
Azor,9/10/2021,['Drama'],0,100,5.6
Warning,10/22/2021,"['Science Fiction', 'Thriller', 'Drama']",0,85,5.9
Cato,10/14/2021,['Drama'],0,0,2.0
Fuimos canciones,9/29/2021,"['Comedy', 'Romance']",0,110,6.6
Finding You,5/13/2021,"['Romance', 'Drama']",0,119,6.4
Chaos Walking,2/24/2021,['Science Fiction'],0,109,6.8
La noche mágica,3/11/2021,"['Comedy', 'Drama']",0,98,8.2
Trollhunters: Rise of the Titans,7/21/2021,"['Animation', 'Fantasy', 'Family', 'Action', 'Adventure', 'Science Fiction']",0,106,8.0
Sinaliento,8/11/2021,"['Crime', 'Drama', 'Thriller']",0,106,5.9
No Man of God,8/19/2021,"['Crime', 'Drama', 'History']",0,100,6.9
The Legacy of Chucky,7/25/2021,"['Horror', 'Documentary']",0,14,5.4
Outside the Wire,1/15/2021,"['Thriller', 'Action', 'Science Fiction']",0,116,6.4
Sing 2,12/2/2021,"['Family', 'Comedy', 'Animation', 'Drama', 'Music']",0,112,0.0
Ghostbusters: Afterlife,11/11/2021,"['Comedy', 'Fantasy']",0,124,7.9
The Secret Lives of College Freshmen,9/24/2021,"['TV Movie', 'Thriller']",0,0,2.0
A un paso de mí,2/25/2021,"['Adventure', 'Comedy', 'Drama']",0,0,7.0
새콤달콤,6/4/2021,"['Comedy', 'Romance']",0,101,7.9
The Kissing Booth 3,8/11/2021,"['Romance', 'Comedy']",0,112,7.3
Amina,11/4/2021,"['War', 'History', 'Drama', 'Adventure']",0,120,6.0
Safer at Home,2/26/2021,"['Thriller', 'Horror']",0,82,5.7
Madres,10/8/2021,['Horror'],0,83,5.9
Sentinelle,3/5/2021,"['Thriller', 'Action', 'Drama']",0,80,5.9
Cinderella,9/3/2021,"['Fantasy', 'Romance', 'Comedy']",0,113,6.7
Best Sellers,9/9/2021,"['Drama', 'Comedy']",0,100,6.4
Distancia de rescate,10/6/2021,"['Horror', 'Thriller', 'Drama']",0,93,6.1
Vanquish,4/16/2021,"['Action', 'Crime', 'Thriller']",0,96,6.0
Mickey's Tale of Two Witches,10/7/2021,['Animation'],0,46,7.0
Crisis,2/26/2021,"['Thriller', 'Crime', 'Drama']",0,118,6.4
No Sudden Move,6/24/2021,"['Crime', 'Drama', 'Mystery']",0,115,6.5
The Voyeurs,8/25/2021,['Thriller'],0,117,6.9
Destello Bravío,6/18/2021,['Drama'],0,98,6.1
Lokillo: nada es igual,8/12/2021,['Comedy'],0,64,7.8
Barbie & Chelsea: The Lost Birthday,5/14/2021,['Animation'],,,7.2
Girl in the Basement,2/27/2021,"['Crime', 'Thriller']",0,90,8.1
Tentacles,2/12/2021,"['Horror', 'Romance']",0,84,6.2
Les Rois de l'arnaque,11/3/2021,['Documentary'],0,105,6.0
제8일의 밤,7/2/2021,"['Mystery', 'Thriller', 'Horror']",0,115,6.1
Plan A,9/3/2021,['Thriller'],0,109,4.3
Schwarze Insel,8/17/2021,['Thriller'],0,105,6.2
Justice Society: World War II,4/27/2021,"['Animation', 'War', 'Science Fiction']",0,84,7.8
Resort to Love,7/29/2021,"['Romance', 'Comedy']",0,101,7.4
Smelliville,1/1/2021,"['Animation', 'Drama', 'Adventure', 'Family']",0,85,7.6
Thunder Force,4/9/2021,"['Action', 'Adventure', 'Comedy']",0,107,5.7
승리호,2/5/2021,"['Drama', 'Fantasy', 'Science Fiction']",0,136,7.2
"Batman: The Long Halloween, Part Two",7/26/2021,"['Animation', 'Mystery', 'Action', 'Crime']",0,87,7.7
Dreamcatcher,3/5/2021,"['Horror', 'Mystery', 'Thriller']",0,90,6.6
Resident Evil: Welcome to Raccoon City,11/24/2021,"['Horror', 'Action', 'Mystery']",0,107,0.0
Bajocero,1/29/2021,"['Action', 'Crime', 'Thriller']",0,106,6.4
新神榜：哪吒重生,2/6/2021,"['Animation', 'Action', 'Fantasy']",0,116,8.3
Adventures of a Mathematician,6/11/2021,"['Drama', 'History']",0,102,6.4
The Guilty,9/24/2021,"['Crime', 'Drama', 'Thriller']",0,91,6.5
El prófugo,7/30/2021,['Thriller'],0,95,5.1
Return of Chucky,12/31/2021,[],0,60,0.0
America: The Motion Picture,6/30/2021,"['Action', 'Comedy', 'History', 'Animation', 'Fantasy']",0,98,5.8
Dinosaur Hotel,6/11/2021,"['Horror', 'Science Fiction', 'Mystery']",0,77,5.3
Red Dot,2/11/2021,"['Thriller', 'Drama', 'Horror']",0,86,5.9
Du Sie Er & Wir,10/15/2021,"['Comedy', 'Romance', 'Drama']",0,88,5.2
Intrusion,9/22/2021,['Thriller'],0,93,6.2
Terapia do Medo,8/4/2021,"['Mystery', 'Horror', 'Thriller']",0,84,6.8
Cherry,2/26/2021,"['Crime', 'Drama']",0,140,7.5
Stay Out of the Attic,3/11/2021,['Horror'],0,80,5.8
The Mad Hatter,1/29/2021,"['Horror', 'Thriller']",0,90,5.8
Fear Street: 1666,7/14/2021,"['Mystery', 'Horror']",0,114,7.4
The Seventh Day,3/26/2021,['Horror'],0,87,5.7
The Space Between,4/23/2021,"['Drama', 'Comedy']",,,5.5
八月未央,4/16/2021,['Romance'],0,95,2.0
余生，请多指教,2/3/2021,['Romance'],0,76,2.0
ボクたちはみんな大人になれなかった,11/5/2021,"['Romance', 'Drama']",0,124,4.0
Fear Street: 1978,7/8/2021,"['Horror', 'Mystery']",0,110,7.3
Butchers,1/12/2021,['Horror'],0,93,4.9
"Batman: The Long Halloween, Part One",6/21/2021,"['Animation', 'Mystery', 'Action', 'Crime']",0,85,7.9
Después de ti,4/8/2021,"['Comedy', 'Drama']",0,92,7.9
Clifford the Big Red Dog,11/10/2021,"['Family', 'Animation', 'Comedy']",0,97,0.0
La funeraria,4/15/2021,['Horror'],0,86,4.1
Friends: The Reunion,5/27/2021,['Documentary'],0,104,8.2
Dangerous,11/5/2021,"['Action', 'Thriller']",0,99,5.5
Just Say Yes,4/2/2021,"['Comedy', 'Romance']",0,97,6.7
A Menina Que Matou os Pais,9/24/2021,"['Crime', 'Drama', 'Thriller']",0,85,6.5
Coming 2 America,3/5/2021,['Comedy'],0,110,6.7
Prey,9/10/2021,['Thriller'],0,86,4.5
Le bal des folles,9/12/2021,"['Drama', 'Thriller']",0,122,7.1
Blood Red Sky,7/23/2021,"['Horror', 'Thriller', 'Action']",0,121,7.2
Aftermath,8/4/2021,"['Horror', 'Crime', 'Drama', 'Thriller']",0,114,6.6
Black as Night,10/1/2021,"['Horror', 'Thriller']",0,87,5.4
Solo una vez,6/11/2021,['Drama'],0,0,4.7
여고괴담 여섯번째 이야기: 모교,6/17/2021,['Horror'],0,117,7.7
Llanto Maldito,7/29/2021,['Horror'],0,0,3.7
Maya the Bee: The Golden Orb,1/7/2021,"['Adventure', 'Animation', 'Family']",0,88,6.6
O Menino Que Matou Meus Pais,9/24/2021,"['Crime', 'Drama', 'Thriller']",0,88,6.4
Dýrið,8/12/2021,"['Drama', 'Horror', 'Mystery']",0,106,6.7
Guerra de Likes,3/12/2021,['Comedy'],0,103,7.8
A Classic Horror Story,7/14/2021,"['Drama', 'Horror', 'Mystery', 'Comedy']",0,95,6.0
Happier Than Ever: A Love Letter to Los Angeles,9/3/2021,"['Documentary', 'Music', 'Animation']",,0,7.9
Justin Bieber: Our World,10/8/2021,"['Music', 'Documentary']",0,94,7.5
Daisy Quokka: World's Scariest Animal,2/4/2021,"['Animation', 'Comedy', 'Family']",0,88,6.7
"Ганзель, Гретель и Агентство Магии",3/18/2021,"['Animation', 'Comedy', 'Fantasy']",0,104,7.2
Scooby-Doo! The Sword and the Scoob,2/22/2021,"['Animation', 'Comedy', 'Family', 'Mystery', 'Adventure', 'Fantasy']",0,72,7.9
Monstruosamente Solo,9/16/2021,"['Comedy', 'Drama', 'Animation']",0,0,5.2
Lady of the Manor,9/17/2021,"['Comedy', 'Fantasy']",0,96,6.8
Пальма,3/18/2021,"['Family', 'Romance']",0,110,8.5
Chilangolandia,9/16/2021,['Comedy'],0,0,3.0
Quem Vai Ficar com Mário?,6/10/2021,['Comedy'],0,105,5.7
I Am All Girls,5/14/2021,"['Crime', 'Drama', 'Mystery', 'Thriller']",0,107,6.7
Xtremo,6/4/2021,"['Action', 'Adventure', 'Crime']",0,111,6.8
Super Monsters: Once Upon a Rhyme,6/1/2021,['Animation'],0,0,6.3
Sugar Daddy,4/9/2021,['Drama'],0,100,6.3
불어라 검풍아,4/8/2021,"['Action', 'Comedy']",0,99,5.5
The Banishing,4/29/2021,['Horror'],0,97,5.5
Finding 'Ohana,1/29/2021,"['Action', 'Adventure', 'Comedy', 'Family']",0,123,6.5
Le guide de la famille parfaite,7/14/2021,"['Comedy', 'Drama']",0,102,6.6
